PING 10.0.14.2 (10.0.14.2) 56(84) bytes of data.
64 bytes from 10.0.14.2: icmp_seq=145 ttl=60 time=0.622 ms
64 bytes from 10.0.14.2: icmp_seq=146 ttl=60 time=0.621 ms
64 bytes from 10.0.14.2: icmp_seq=147 ttl=60 time=0.617 ms
64 bytes from 10.0.14.2: icmp_seq=148 ttl=60 time=0.617 ms
64 bytes from 10.0.14.2: icmp_seq=149 ttl=60 time=0.617 ms
64 bytes from 10.0.14.2: icmp_seq=150 ttl=60 time=0.617 ms
64 bytes from 10.0.14.2: icmp_seq=151 ttl=60 time=0.617 ms
64 bytes from 10.0.14.2: icmp_seq=152 ttl=60 time=0.617 ms
64 bytes from 10.0.14.2: icmp_seq=156 ttl=60 time=0.617 ms
64 bytes from 10.0.14.2: icmp_seq=158 ttl=60 time=0.617 ms
64 bytes from 10.0.14.2: icmp_seq=159 ttl=60 time=0.617 ms
64 bytes from 10.0.14.2: icmp_seq=160 ttl=60 time=0.617 ms
